Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Wind power generation - hourly data
2018-01-10 15:00:00,2018-01-10 16:00:00,2018-01-10 18:00:00,2018-01-10 19:00:00,47.0
2018-01-10 16:00:00,2018-01-10 17:00:00,2018-01-10 19:00:00,2018-01-10 20:00:00,38.0
2018-01-10 17:00:00,2018-01-10 18:00:00,2018-01-10 20:00:00,2018-01-10 21:00:00,38.0
2018-01-10 18:00:00,2018-01-10 19:00:00,2018-01-10 21:00:00,2018-01-10 22:00:00,39.0
2018-01-10 19:00:00,2018-01-10 20:00:00,2018-01-10 22:00:00,2018-01-10 23:00:00,40.0
2018-01-10 20:00:00,2018-01-10 21:00:00,2018-01-10 23:00:00,2018-01-11 00:00:00,41.0
2018-01-10 21:00:00,2018-01-10 22:00:00,2018-01-11 00:00:00,2018-01-11 01:00:00,45.0
2018-01-10 22:00:00,2018-01-10 23:00:00,2018-01-11 01:00:00,2018-01-11 02:00:00,40.0
2018-01-10 23:00:00,2018-01-11 00:00:00,2018-01-11 02:00:00,2018-01-11 03:00:00,38.0
2018-01-11 00:00:00,2018-01-11 01:00:00,2018-01-11 03:00:00,2018-01-11 04:00:00,38.0
