Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Down-regulation price in the Balancing energy market
2018-01-05 12:00:00,2018-01-05 13:00:00,2018-01-05 15:00:00,2018-01-05 16:00:00,32.84
2018-01-05 13:00:00,2018-01-05 14:00:00,2018-01-05 16:00:00,2018-01-05 17:00:00,28.5
2018-01-05 14:00:00,2018-01-05 15:00:00,2018-01-05 17:00:00,2018-01-05 18:00:00,28.68
2018-01-05 15:00:00,2018-01-05 16:00:00,2018-01-05 18:00:00,2018-01-05 19:00:00,35.1
2018-01-05 16:00:00,2018-01-05 17:00:00,2018-01-05 19:00:00,2018-01-05 20:00:00,37.3
2018-01-05 17:00:00,2018-01-05 18:00:00,2018-01-05 20:00:00,2018-01-05 21:00:00,34.0
2018-01-05 18:00:00,2018-01-05 19:00:00,2018-01-05 21:00:00,2018-01-05 22:00:00,32.25
2018-01-05 19:00:00,2018-01-05 20:00:00,2018-01-05 22:00:00,2018-01-05 23:00:00,27.66
2018-01-05 20:00:00,2018-01-05 21:00:00,2018-01-05 23:00:00,2018-01-06 00:00:00,26.63
2018-01-05 21:00:00,2018-01-05 22:00:00,2018-01-06 00:00:00,2018-01-06 01:00:00,26.63
2018-01-05 22:00:00,2018-01-05 23:00:00,2018-01-06 01:00:00,2018-01-06 02:00:00,29.64
2018-01-05 23:00:00,2018-01-06 00:00:00,2018-01-06 02:00:00,2018-01-06 03:00:00,29.45
2018-01-06 00:00:00,2018-01-06 01:00:00,2018-01-06 03:00:00,2018-01-06 04:00:00,25.67
2018-01-06 01:00:00,2018-01-06 02:00:00,2018-01-06 04:00:00,2018-01-06 05:00:00,24.64
2018-01-06 02:00:00,2018-01-06 03:00:00,2018-01-06 05:00:00,2018-01-06 06:00:00,24.64
2018-01-06 03:00:00,2018-01-06 04:00:00,2018-01-06 06:00:00,2018-01-06 07:00:00,24.64
2018-01-06 04:00:00,2018-01-06 05:00:00,2018-01-06 07:00:00,2018-01-06 08:00:00,24.64
2018-01-06 05:00:00,2018-01-06 06:00:00,2018-01-06 08:00:00,2018-01-06 09:00:00,24.64
2018-01-06 06:00:00,2018-01-06 07:00:00,2018-01-06 09:00:00,2018-01-06 10:00:00,24.64
2018-01-06 07:00:00,2018-01-06 08:00:00,2018-01-06 10:00:00,2018-01-06 11:00:00,24.8
2018-01-06 08:00:00,2018-01-06 09:00:00,2018-01-06 11:00:00,2018-01-06 12:00:00,25.67
2018-01-06 09:00:00,2018-01-06 10:00:00,2018-01-06 12:00:00,2018-01-06 13:00:00,26.0
2018-01-06 10:00:00,2018-01-06 11:00:00,2018-01-06 13:00:00,2018-01-06 14:00:00,26.18
2018-01-06 11:00:00,2018-01-06 12:00:00,2018-01-06 14:00:00,2018-01-06 15:00:00,25.67
2018-01-06 12:00:00,2018-01-06 13:00:00,2018-01-06 15:00:00,2018-01-06 16:00:00,25.67
2018-01-06 13:00:00,2018-01-06 14:00:00,2018-01-06 16:00:00,2018-01-06 17:00:00,25.67
2018-01-06 14:00:00,2018-01-06 15:00:00,2018-01-06 17:00:00,2018-01-06 18:00:00,25.67
2018-01-06 15:00:00,2018-01-06 16:00:00,2018-01-06 18:00:00,2018-01-06 19:00:00,27.21
2018-01-06 16:00:00,2018-01-06 17:00:00,2018-01-06 19:00:00,2018-01-06 20:00:00,28.0
2018-01-06 17:00:00,2018-01-06 18:00:00,2018-01-06 20:00:00,2018-01-06 21:00:00,28.0
2018-01-06 18:00:00,2018-01-06 19:00:00,2018-01-06 21:00:00,2018-01-06 22:00:00,27.72
2018-01-06 19:00:00,2018-01-06 20:00:00,2018-01-06 22:00:00,2018-01-06 23:00:00,25.67
2018-01-06 20:00:00,2018-01-06 21:00:00,2018-01-06 23:00:00,2018-01-07 00:00:00,25.67
2018-01-06 21:00:00,2018-01-06 22:00:00,2018-01-07 00:00:00,2018-01-07 01:00:00,25.67
2018-01-06 22:00:00,2018-01-06 23:00:00,2018-01-07 01:00:00,2018-01-07 02:00:00,24.8
